yyyymm,yyyymmdd,nbr_tables,nbr_rows
201903,20190329,2,793
201905,20190531,1,359
201906,20190628,4,691
201907,20190710,4,757
201907,20190711,4,761
201907,20190712,4,704
201907,20190715,4,738
201907,20190716,4,740
201907,20190717,4,773
201907,20190718,4,775
201907,20190719,4,728
201907,20190722,4,756
201907,20190723,4,754
201907,20190724,4,785
201907,20190725,4,787
201907,20190726,4,742
201907,20190729,4,774
201907,20190730,4,764
201907,20190731,8,13773
201908,20190801,4,833
201908,20190802,4,783
201908,20190805,4,799
201908,20190806,4,792
201908,20190807,4,816
201908,20190808,4,817
201908,20190809,4,769
201908,20190812,4,811
201908,20190813,4,803
201908,20190814,4,827
201908,20190815,4,835
201908,20190816,4,787
201908,20190819,3,817
201908,20190820,4,823
201908,20190821,4,850
201908,20190822,4,853
201908,20190823,4,813
201908,20190826,4,849
201908,20190827,4,838
201908,20190828,4,884
201908,20190829,4,860
201908,20190830,4,815
201909,20190902,4,817
201909,20190903,4,853
201909,20190904,4,901
201909,20190905,4,876
201909,20190906,14,4524
201909,20190909,4,872
201909,20190910,5,2055
201909,20190911,5,2098
201909,20190912,5,2103
201909,20190913,5,2069
201909,20190916,5,2093
201909,20190917,5,2087
201909,20190918,5,1906
201909,20190919,5,1904
201909,20190920,5,1862
201909,20190923,5,1896
201909,20190924,5,1893
201909,20190925,5,1920
201909,20190926,5,1933
201909,20190927,5,1897
201909,20190930,5,1905
201910,20191001,6,2523
201910,20191002,6,2562
201910,20191003,6,2539
201910,20191004,6,2494
201910,20191007,6,2999
201910,20191008,6,3014
201910,20191009,6,3041
201910,20191010,6,3046
201910,20191011,6,2992
201910,20191014,6,2970
201910,20191015,6,3044
201910,20191016,6,3067
201910,20191017,6,3062
201910,20191018,6,3001
201910,20191021,6,3018
201910,20191022,6,3020
201910,20191023,6,3071
